trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
102,0,102,0,203.87631800000236,,203.8370876000008,10,203.87631800000236,203.87631800000236,0.020433300000149757,205.0336638000008,[0.28055555555555556],[0.09907407407407408],[1],[0],[0],[1.1765306999986933],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
103,0,103,0,205.0519729000007,,205.03588880000098,5,205.0519729000007,205.0519729000007,0.0102030999987619,206.30029579999973,[0.06851851851851852],[0.22407407407407406],[1],[0],[0],[1.254395800002385],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
104,0,104,0,206.33561660000123,,206.3024179999993,10,206.33561660000123,206.33561660000123,0.019652800001495052,207.53281889999926,[0.362962962962963],[0.017592592592592594],[1],[0],[0],[1.2107768999994732],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
105,0,105,0,207.57375300000058,,207.5357163000008,10,207.57375300000058,207.57375300000058,0.021144100002857158,210.46357680000074,[-0.01574074074074074],[-0.35833333333333334],[1],[0],[0],[2.907123599998158],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
106,0,106,0,210.48396280000088,,210.46577380000235,5,210.48396280000088,210.48396280000088,0.010960999999952037,211.71366340000168,[-0.24444444444444444],[0.06481481481481481],[1],[0],[0],[1.237083199997869],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
107,0,107,0,211.75113659999988,,211.71662470000228,10,211.75113659999988,211.75113659999988,0.022259800000028918,213.6622141000007,[0.08333333333333333],[0.48518518518518516],[1],[0],[0],[1.9235297000013816],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
108,0,108,0,213.6996024,,213.66438460000063,10,213.6996024,213.6996024,0.019991500001196982,219.39159350000045,[0.007407407407407408],[-0.1527777777777778],[1],[0],[0],[5.707227799997781],[],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
109,0,109,0,219.4092520000013,,219.39373390000037,5,219.4092520000013,219.4092520000013,0.01001890000043204,220.4919461999998,[-0.03148148148148148],[0.44166666666666665],[1],[0],[0],[1.0883361999985937],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
110,0,110,0,220.5122663000002,,220.49412250000023,5,220.5122663000002,220.5122663000002,0.011091399999713758,221.88997360000212,[0.3472222222222222],[0.30185185185185187],[1],[0],[0],[1.3849660999985645],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
111,0,111,0,221.91536199999973,,221.89248729999963,5,221.91536199999973,221.91536199999973,0.015534300000581425,223.15590220000013,[0.30277777777777776],[0.13796296296296295],[1],[0],[0],[1.2481086000007053],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
112,0,112,0,223.19002580000233,,223.1580236000009,10,223.19002580000233,223.19002580000233,0.019754400000238093,225.43810780000058,[-0.225],[-0.16018518518518518],[1],[0],[0],[2.2604687999992166],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
